"project_id","burn_id","site_id","burn_year","count_year","years_postfire","latitude","longitude","ecozone","ecozone_combined","elevation","moisture","residual_organic","tslf","canopy_combustion","cmd_sm_norm","cmd_sm_1yf","cmd_sm_2yf","cmd_diff_y1","cmd_diff_y2","abibal_basal_area","betneo_basal_area","betpap_basal_area","larlar_basal_area","picmar_basal_area","picgla_basal_area","pinban_basal_area","popbal_basal_area","poptre_basal_area","unknown_basal_area","total_basal_area","abibal_density","betneo_density","betpap_density","larlar_density","picgla_density","picmar_density","pinban_density","popbal_density","poptre_density","unknown_density","conifer_density","broad_density","total_density","abibal_sdlng_dens","betneo_sdlng_dens","betpap_sdlng_dens","larlar_sdlng_dens","picgla_sdlng_dens","picmar_sdlng_dens","pinban_sdlng_dens","popbal_sdlng_dens","poptre_sdlng_dens","total_sdlng_dens","betpap_sucker_dens","popbal_sucker_dens","poptre_sucker_dens","betula_sdlng_sucker_dens","populus_sdlng_sucker_dens","broad_sdlng_sucker_dens","conifer_sdlng_dens","total_sdlng_sucker_dens"
"DDuros","1989 7101","2EN_6",1989,2002,13,53.83599,-77.37997,"TAIGA SHIELD","SHIELD E",168,3,42.3,32,2,37,46,67,-9,-30,-9999,-9999,-9999,0,7.1,-9999,0,-9999,0,-9999,7.1,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.5,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,0.7,-9999,-9999,-9999,0,0,0,0.7,0.7
"DDuros","1989 7101","6EN_1",1989,2002,13,53.83556,-77.40593,"TAIGA SHIELD","SHIELD E",181.6,3,60,67,2,37,46,67,-9,-30,-9999,-9999,-9999,0,11.6,-9999,0,-9999,0,-9999,11.6,-9999,-9999,-9999,0,-9999,0.8,0,-9999,0,-9999,0.8,0,0.83,-9999,-9999,-9999,0,-9999,0.1,0,-9999,0,0.1,-9999,-9999,-9999,0,0,0,0.1,0.1
"DDuros","1989 7076","4S_8",1989,2002,13,52.42204,-77.34103,"HUDSON PLAIN","PLAINS E",191,2,37,28,2,47,48,82,-1,-35,-9999,-9999,-9999,0,0.2,-9999,0,-9999,0,-9999,0.2,-9999,-9999,-9999,0,-9999,0.6,0,-9999,0,-9999,0.6,0,0.58,-9999,-9999,-9999,0.6,-9999,0.8,0.2,-9999,0,1.6,-9999,-9999,-9999,0,0,0,1.6,1.6
"DDuros","1989 7101","2EN_7",1989,2002,13,53.83597,-77.37923,"TAIGA SHIELD","SHIELD E",168.7,3,22,62,1,37,46,67,-9,-30,-9999,-9999,-9999,0,7.8,-9999,0,-9999,0,-9999,7.8,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.53,-9999,-9999,-9999,0,-9999,0,0,-9999,0,0,-9999,-9999,-9999,0,0,0,0,0
"DDuros","1989 7076","1S_7",1989,2002,13,52.41239,-77.28739,"HUDSON PLAIN","PLAINS E",192.4,3,40,14,2,47,48,81,-1,-34,-9999,-9999,-9999,0,0.1,-9999,0,-9999,0,-9999,0.1,-9999,-9999,-9999,0,-9999,0.2,0,-9999,0,-9999,0.2,0,0.2,-9999,-9999,-9999,0,-9999,0.2,0,-9999,0,0.2,-9999,-9999,-9999,0,0,0,0.2,0.2
"DDuros","1989 7101","6EN_4",1989,2002,13,53.83655,-77.40443,"TAIGA SHIELD","SHIELD E",182,1,1,57,0,37,46,67,-9,-30,-9999,-9999,-9999,0,12.5,-9999,0,-9999,0,-9999,12.5,-9999,-9999,-9999,0,-9999,0.4,0,-9999,0,-9999,0.4,0,0.4,-9999,-9999,-9999,0,-9999,1.2,0,-9999,0,1.2,-9999,-9999,-9999,0,0,0,1.2,1.2
"DDuros","1989 7101","15EN_14",1989,2002,13,53.82573,-77.35236,"TAIGA SHIELD","SHIELD E",168,2,8.3,64,0,37,46,67,-9,-30,-9999,-9999,-9999,0,15,-9999,0,-9999,0,-9999,15,-9999,-9999,-9999,0,-9999,0.6,0,-9999,0,-9999,0.6,0,0.6,-9999,-9999,-9999,0,-9999,2.2,0,-9999,0,2.2,-9999,-9999,-9999,0,0,0,2.2,2.2
"DDuros","1989 7093","9N_3",1989,2002,13,53.21283,-77.41057,"TAIGA SHIELD","SHIELD E",199.2,3,60,-9999,2,43,47,73,-4,-30,-9999,-9999,-9999,1.6,1.7,-9999,0,-9999,0,-9999,3.3,-9999,-9999,-9999,0.1,-9999,0.4,0,-9999,0,-9999,0.5,0,0.52,-9999,-9999,-9999,0.4,-9999,0.7,0,-9999,0,1.1,-9999,-9999,-9999,0,0,0,1.1,1.1
"DDuros","1989 7076","4S_6",1989,2002,13,52.42187,-77.33867,"HUDSON PLAIN","PLAINS E",193.4,2,6.3,102,0,46,48,82,-2,-36,-9999,-9999,-9999,0,0,-9999,2.1,-9999,0,-9999,2.1,-9999,-9999,-9999,0,-9999,0.2,0.3,-9999,0,-9999,0.5,0,0.52,-9999,-9999,-9999,0,-9999,0.1,0.9,-9999,0,1,-9999,-9999,-9999,0,0,0,1,1
"DDuros","1989 7101","8EN_13",1989,2002,13,53.84348,-77.40998,"TAIGA SHIELD","SHIELD E",179,3,22.7,67,1,37,46,67,-9,-30,-9999,-9999,-9999,1.1,3.8,-9999,0,-9999,0,-9999,4.9,-9999,-9999,-9999,0,-9999,0.8,0,-9999,0,-9999,0.8,0,0.78,-9999,-9999,-9999,0,-9999,0.6,0,-9999,0,0.6,-9999,-9999,-9999,0,0,0,0.6,0.6
"DDuros","1989 7101","11EN_2",1989,2002,13,53.85028,-77.43014,"TAIGA SHIELD","SHIELD E",167.9,3,41.7,159,2,37,46,67,-9,-30,-9999,-9999,-9999,0,4.6,-9999,0,-9999,0,-9999,4.6,-9999,-9999,-9999,0,-9999,0.5,0,-9999,0,-9999,0.5,0,0.47,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,0.7,-9999,-9999,-9999,0,0,0,0.7,0.7
"DDuros","1989 7101","8EN_6",1989,2002,13,53.84232,-77.41496,"TAIGA SHIELD","SHIELD E",173.4,3,22,56,1,37,46,67,-9,-30,-9999,-9999,-9999,5.1,2.1,-9999,0,-9999,0,-9999,7.2,-9999,-9999,-9999,0.2,-9999,0.5,0,-9999,0,-9999,0.8,0,0.77,-9999,-9999,-9999,0,-9999,0.1,0,-9999,0,0.1,-9999,-9999,-9999,0,0,0,0.1,0.1
"DDuros","1989 7101","2EN_5",1989,2002,13,53.83597,-77.38104,"TAIGA SHIELD","SHIELD E",168,3,60,140,2,37,46,67,-9,-30,-9999,-9999,-9999,0,3.1,-9999,0,-9999,0,-9999,3.1,-9999,-9999,-9999,0,-9999,0.6,0,-9999,0,-9999,0.6,0,0.6,-9999,-9999,-9999,0,-9999,1.1,0,-9999,0,1.1,-9999,-9999,-9999,0,0,0,1.1,1.1
"DDuros","1989 7101","6EN_11",1989,2002,13,53.83918,-77.40001,"TAIGA SHIELD","SHIELD E",185.4,3,60,-9999,2,37,45,67,-8,-30,-9999,-9999,-9999,0,7.3,-9999,0,-9999,0,-9999,7.3,-9999,-9999,-9999,0.1,-9999,0.7,0,-9999,0,-9999,0.8,0,0.78,-9999,-9999,-9999,0.4,-9999,0.1,0,-9999,0,0.5,-9999,-9999,-9999,0,0,0,0.5,0.5
"DDuros","1989 7076","5S_11",1989,2002,13,52.43217,-77.31812,"HUDSON PLAIN","PLAINS E",213.1,1,2.3,-9999,0,44,47,79,-3,-35,-9999,-9999,-9999,0,0,-9999,2.4,-9999,0,-9999,2.4,-9999,-9999,-9999,0,-9999,0,0.5,-9999,0,-9999,0.5,0,0.48,-9999,-9999,-9999,0,-9999,0,0.3,-9999,0,0.3,-9999,-9999,-9999,0,0,0,0.3,0.3
"DDuros","1989 7101","10EN_11",1989,2002,13,53.85003,-77.41784,"TAIGA SHIELD","SHIELD E",180.4,3,21.7,92,1,36,45,67,-9,-31,-9999,-9999,-9999,0,9,-9999,0,-9999,0,-9999,9,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,-9999,0.7,0,0.67,-9999,-9999,-9999,0,-9999,1.4,0,-9999,0,1.4,-9999,-9999,-9999,0,0,0,1.4,1.4
"DDuros","1989 7076","1S_6",1989,2002,13,52.41207,-77.28793,"HUDSON PLAIN","PLAINS E",192.1,3,49,31,2,47,48,81,-1,-34,-9999,-9999,-9999,0,0.8,-9999,0,-9999,0,-9999,0.8,-9999,-9999,-9999,0,-9999,0.4,0,-9999,0,-9999,0.4,0,0.37,-9999,-9999,-9999,0,-9999,0.1,0,-9999,0,0.1,-9999,-9999,-9999,0,0,0,0.1,0.1
"DDuros","1989 7101","11EN_4",1989,2002,13,53.84989,-77.42931,"TAIGA SHIELD","SHIELD E",167.5,3,45,-9999,2,37,46,67,-9,-30,-9999,-9999,-9999,0,4.3,-9999,0,-9999,0,-9999,4.3,-9999,-9999,-9999,0,-9999,0.6,0,-9999,0,-9999,0.6,0,0.55,-9999,-9999,-9999,0,-9999,0.3,0,-9999,0,0.3,-9999,-9999,-9999,0,0,0,0.3,0.3
"DDuros","1989 7076","4S_4",1989,2002,13,52.42189,-77.3372,"HUDSON PLAIN","PLAINS E",195.6,1,1.3,34,0,46,48,81,-2,-35,-9999,-9999,-9999,0,0.1,-9999,1.1,-9999,0,-9999,1.2,-9999,-9999,-9999,0,-9999,0.1,0.1,-9999,0,-9999,0.2,0,0.18,-9999,-9999,-9999,0,-9999,0.3,0.3,-9999,0,0.6,-9999,-9999,-9999,0,0,0,0.6,0.6
"DDuros","1989 7101","8EN_8",1989,2002,13,53.84265,-77.41355,"TAIGA SHIELD","SHIELD E",176.8,3,16,67,1,37,46,67,-9,-30,-9999,-9999,-9999,0,4.4,-9999,0,-9999,0,-9999,4.4,-9999,-9999,-9999,0,-9999,0.8,0,-9999,0,-9999,0.8,0,0.83,-9999,-9999,-9999,0,-9999,1.7,0,-9999,0,1.7,-9999,-9999,-9999,0,0,0,1.7,1.7
"DDuros","1989 7101","10EN_9",1989,2002,13,53.84962,-77.4192,"TAIGA SHIELD","SHIELD E",178.1,2,5,96,0,37,45,67,-8,-30,-9999,-9999,-9999,0,7,-9999,2.2,-9999,0,-9999,9.2,-9999,-9999,-9999,0,-9999,0.6,0.1,-9999,0,-9999,0.6,0,0.65,-9999,-9999,-9999,0,-9999,1.9,0.2,-9999,0,2.1,-9999,-9999,-9999,0,0,0,2.1,2.1
"DDuros","1989 7093","6N_5",1989,2002,13,53.23981,-77.41465,"TAIGA SHIELD","SHIELD E",192.8,1,3.7,16,0,44,48,73,-4,-29,-9999,-9999,-9999,0,1,-9999,0,-9999,0,-9999,1,-9999,-9999,-9999,0,-9999,0.4,0,-9999,0,-9999,0.4,0,0.43,-9999,-9999,-9999,0,-9999,0.2,0.1,-9999,0,0.3,-9999,-9999,-9999,0,0,0,0.3,0.3
"DDuros","1989 7076","12S_3",1989,2002,13,52.49084,-77.3348,"HUDSON PLAIN","PLAINS E",235.9,3,60,65,2,42,46,74,-4,-32,-9999,-9999,-9999,0,3.8,-9999,0,-9999,0,-9999,3.8,-9999,-9999,-9999,0,-9999,0.7,0,-9999,0,-9999,0.7,0,0.68,-9999,-9999,-9999,0,-9999,0.6,0,-9999,0,0.6,-9999,-9999,-9999,0,0,0,0.6,0.6
"DDuros","1989 7101","7EN_9",1989,2002,13,53.84085,-77.41357,"TAIGA SHIELD","SHIELD E",179.9,2,3,58,0,37,46,67,-9,-30,-9999,-9999,-9999,0.1,10.6,-9999,0,-9999,0,-9999,10.8,-9999,-9999,-9999,0,-9999,0.9,0,-9999,0,-9999,0.9,0,0.93,-9999,-9999,-9999,0,-9999,0,0,-9999,0,0,-9999,-9999,-9999,0,0,0,0,0
